no,ballot,name,party
1,"Abejo, Vangie","Abejo, Evangeline Roche",Independent
2,"Afuang, Abner","Afuang, Abner Labastida",Labor Party Philippines
3,"Aguilar, Freddie","Aguilar, Ferdinand Pascual",Independent
4,"Albani, Shariff","Albani, Ibrahim Hussien",Labor Party Philippines
5,"Alejano, Gary","Alejano, Gary Cajolo",Liberal Party
6,"Alfajora, Richard","Alfajora, Richard Undang",Independent
7,"Alunuan, Raffy","Alunan, Fafael III Moreno",Bagumbayan Volunteers for a New Philippines
8,"Angara, Edgardo Sonny","Angara, Juan Edgardo Manalang",Laban ng Demokratikong Pilipino
9,"Aquino, Benigno Bam","Aquino, Paolo Beningo IV Aguirre",Liberal Party
10,"Arcega, Gernald","Arcega, Gerald Balita",Labor Party Philippines